helm,permeability
"PEPTIDE1{Q.X7.Y.G.X261.F.Y}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.22948599
"PEPTIDE1{X2339.P.R.Bal.X3004.R.Q}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.76793809
"PEPTIDE1{L.Y.F.P.G.F.Y}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.00448144
"PEPTIDE1{P.dP.Y.X2432.G.R.X956}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.87603416
"PEPTIDE1{X956.Mono106.F.F.L.X2432.G}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.15416195
"PEPTIDE1{F.X395.G.X1029.X867.P.dHpr}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-5.98398853
"PEPTIDE1{X2432.X2432.G.X49.X824.X1004.X7}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.52706447
"PEPTIDE1{P.P.P.P.P.P.G}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.44880060
"PEPTIDE1{F.X1811.X786.R.G.L.Q}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.66462959
"PEPTIDE1{L.X2461.X1956.Y.X2432.X2432.X1457}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.47796165
"PEPTIDE1{X1664.Y.X299.G.Aze.L.P}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.58044189
"PEPTIDE1{X2791.X6.X2135.Q.Q.am_G.A}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.86085983
"PEPTIDE1{dP.X2432.Y.X956.P.R.P}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.73188758
"PEPTIDE1{G.Y.X1811.X683.dHpr.dS.G}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.07087565
"PEPTIDE1{G.L.P.Q.dP.F.G}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.04590892
"PEPTIDE1{F.Q.X315.Mono51.X2258.2-Pal.Mono30}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.27422897
"PEPTIDE1{Q.X725.X425.meW.am_G.Q.X425}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.10010022
"PEPTIDE1{Y.F.Aze.X1395.R.G.X6}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.91885397
"PEPTIDE1{X1811.G.Q.G.X490.Q.P}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-8.02535809
"PEPTIDE1{F.X1980.X612.P.d2-Pal.Y.P}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.32776106
"PEPTIDE1{X1645.X529.dNle.G.G.R.Q}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.98213481
"PEPTIDE1{F.X652.Q.Q.F.X1913.(N->O)Tyr}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.26672019
"PEPTIDE1{L.G.G.F.X1410.X1788.X870}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.43671699
"PEPTIDE1{Y.G.Y.A.G.Q.dP}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.20073989
"PEPTIDE1{F.Q.Q.X683.X1802.X534.Pro(4-F2)}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.66039566
"PEPTIDE1{Q.F.X2719.G.Y.G.P}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.12044380
"PEPTIDE1{X2754.X1540.Q.X2577.(N->O)Val.Mono51.G}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-8.10379960
"PEPTIDE1{X1410.X2258.Y.P.R.X2403.Y}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.23336720
"PEPTIDE1{Mono106.X7.X786.X2719.X3004.Y.Y}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.64413156
"PEPTIDE1{X1457.Aze.G.X1395.Y.Q.X3004}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.78196653
"PEPTIDE1{G.P.F.Mono106.G.X2791.X2132}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.18276255
"PEPTIDE1{Q.X175.X601.X305.X3004.X255.G}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.94872716
"PEPTIDE1{P.dS.L.X591.Q.X1004.X612}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.04877186
"PEPTIDE1{X2669.Q.L.R.P.X956.X490}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.76014644
"PEPTIDE1{F.Y.Q.R.L.Q.X3004}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.82856075
"PEPTIDE1{X255.Y.G.G.dHpr.Y.X3004}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.82153749
"PEPTIDE1{P.X2432.F.X1989.X591.G.Y}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.31422759
"PEPTIDE1{P.X2327.P.Q.L.A.X1895}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.80577148
"PEPTIDE1{X302.P.X277.X2432.P.X425.dP}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.22412114
"PEPTIDE1{G.am_G.X946.Y.Q.X504.X136}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.63075410
"PEPTIDE1{X3004.X7.X49.G.X2403.G.P}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.23339396
"PEPTIDE1{F.P.X631.X2432.X1661.Aze.(N->O)Tyr}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.65875193
"PEPTIDE1{G.G.R.L.Q.Y.X1432}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.19233107
"PEPTIDE1{X2108.X569.G.X261.X1410.X1720.P}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.45386427
"PEPTIDE1{R.Y.P.X2403.P.Y.X671}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.15004485
"PEPTIDE1{A.Q.X2432.X425.L.Mono50.X2577}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.89677800
"PEPTIDE1{L.Q.X49.X6.Q.dP.Y}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.89204837
"PEPTIDE1{L.X1869.G.X2432.P.Y.X1800}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.24207944
"PEPTIDE1{G.Q.Y.X2501.G.X425.Q}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.54980296
"PEPTIDE1{dR.X2791.X2669.X612.X1788.Pro(4-F2).P}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.79738749
"PEPTIDE1{G.X1720.dNle.R.X1004.Aze.X981}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.43650518
"PEPTIDE1{R.X1829.Mono50.R.X1038.R.d(N->O)aIle}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.15261986
"PEPTIDE1{F.L.Y.dHpr.dHpr.R.X2669}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.27493459
"PEPTIDE1{X652.X2258.X683.Y.G.X1811.X577}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.56351858
"PEPTIDE1{X1395.Q.Q.Aze.dP.G.P}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.75532213
"PEPTIDE1{P.X2747.Q.X577.G.Q.G}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.27072883
"PEPTIDE1{X2577.X1720.G.X1895.R.d(N->O)Gly(allyl).G}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.65763254
"PEPTIDE1{F.A.Q.F.Y.G.G}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.52443326
"PEPTIDE1{Q.X1788.R.Q.F.X1743.X2465}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.92349735
"PEPTIDE1{Y.Y.X946.X2577.P.X2461.G}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.12980278
"PEPTIDE1{F.G.X1788.Y.X1811.X2791.Q}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.97979172
"PEPTIDE1{Y.X2432.Bal.Phi.X671.L.Y}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.18518716
"PEPTIDE1{P.X1720.d(N->O)Gly(allyl).R.Q.L.G}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.16339277
"PEPTIDE1{Hpr.X2791.X232.X1038.Q.Mono19.Y}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.61064524
"PEPTIDE1{X1664.X305.L.F.X1811.X2577.X1661}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-8.17489065
"PEPTIDE1{Y.dD.L.Q.F.L.G}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.81266228
"PEPTIDE1{X2747.G.P.Y.Y.X204.P}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.61428843
"PEPTIDE1{G.Q.Q.A.X7.X1004.X2203}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.73213492
"PEPTIDE1{F.R.Q.Q.dS.Q.X1004}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.17746745
"PEPTIDE1{Q.L.X1811.Q.X612.X49.Mono50}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-8.19828049
"PEPTIDE1{L.G.G.X2432.X2328.X196.G}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.22544829
"PEPTIDE1{Q.G.X822.P.F.L.X715}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.43059432
"PEPTIDE1{Y.X2113.X126.X11.G.X640.P}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.38305184
"PEPTIDE1{G.G.X232.P.Q.Y.P}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.66228312
"PEPTIDE1{R.X1004.F.F.R.X490.P}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.54216333
"PEPTIDE1{F.Q.X956.Q.P.P.P}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.72579690
"PEPTIDE1{R.P.X569.X1038.X1813.G.X6}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.39592902
"PEPTIDE1{Y.X1393.X255.G.X2364.X2745.X1800}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.21041326
"PEPTIDE1{R.X1788.Aze.X591.L.X2225.Q}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.82803573
"PEPTIDE1{G.G.L.G.X255.X1956.P}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.87571182
"PEPTIDE1{Q.X2432.R.X956.L.Mono16.G}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.92790222
"PEPTIDE1{Q.X2364.F.Me_lalloI.G.X81.A}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.25947429
"PEPTIDE1{G.P.Q.X302.X2432.P.X2465}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.95065676
"PEPTIDE1{Q.G.L.G.Y.X204.X233}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.94663714
"PEPTIDE1{F.Mono19.F.Y.X2328.Y.Mono106}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.43795351
"PEPTIDE1{L.X81.G.P.am_G.Q.Q}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.33121234
"PEPTIDE1{Y.G.X1004.X175.(N->O)Tyr.Aze.Phe(CHF2)}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.08406475
"PEPTIDE1{X2432.(N->O)Tyr.R.X7.Y.P.X956}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.08437254
"PEPTIDE1{Q.G.X601.X391.dHpr.Q.Q}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.89929868
"PEPTIDE1{G.G.P.X490.Mono50.G.Q}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.68919291
"PEPTIDE1{L.G.Y.G.Y.R.G}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.10711133
"PEPTIDE1{Q.R.P.L.X573.R.X375}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.79617601
"PEPTIDE1{X956.G.X1038.R.F.Y.X1813}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.09668573
"PEPTIDE1{G.G.Q.Q.G.Y.X2403}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.67865197
"PEPTIDE1{P.G.P.L.X375.X1895.Q}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.58412545
"PEPTIDE1{Q.X631.X490.Y.R.X2432.Q}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.57367118
"PEPTIDE1{Y.Bal.X343.G.X956.P.P}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.81610586
"PEPTIDE1{R.X1798.X1961.Q.P.Y.A}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.16818094
"PEPTIDE1{F.L.Q.X49.G.X2432.G}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.57872302
"PEPTIDE1{G.Mono31.G.Y.X1020.Y.Q}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.05291754
"PEPTIDE1{Q.X1664.X2577.Mono107.Mono50.R.Y}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.26367109
"PEPTIDE1{F.G.X391.Y.F.X2501.G}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.34522733
"PEPTIDE1{P.X683.P.X1513.Y.G.A}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.40616761
"PEPTIDE1{X1942.R.Y.P.G.Y.Q}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.03504636
"PEPTIDE1{dP.G.F.G.R.G.X49}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.07734207
"PEPTIDE1{dP.P.dP.X1393.X504.X2403.Y}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.05046922
"PEPTIDE1{R.F.Y.X305.F.G.G}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.75402865
"PEPTIDE1{G.X2432.X956.P.X786.F.G}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.20313225
"PEPTIDE1{Y.X1956.X2461.X1811.Q.Q.G}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.98553925
"PEPTIDE1{X1035.Y.dHpr.X3004.F.X786.G}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.47547454
"PEPTIDE1{am_G.X822.X2461.dS.P.Q.X822}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.53676261
"PEPTIDE1{L.L.Y.P.Q.P.X2577}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.32511339
"PEPTIDE1{Y.P.Y.Mono50.G.X946.Y}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.08828995
"PEPTIDE1{P.P.A.R.X233.G.X1457}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.51682891
"PEPTIDE1{X204.Q.X1664.X2577.X1035.Q.Q}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.49385955
"PEPTIDE1{X2465.X11.G.X2432.X956.L.Y}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.15447435
"PEPTIDE1{G.Q.G.A.X956.Q.X1918}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.14717344
"PEPTIDE1{X255.P.Q.Mono16.X1294.Q.G}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.12076280
"PEPTIDE1{F.P.G.X425.X49.Q.P}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.75500194
"PEPTIDE1{P.Y.P.G.d(N->O)Gly(allyl).Q.Q}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.20235229
"PEPTIDE1{X425.L.Q.Mono106.X946.X956.G}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.93904702
"PEPTIDE1{X591.R.dP.X1811.Y.X1664.Q}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.81587775
"PEPTIDE1{X3004.L.G.X195.X1895.Q.Y}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.32819533
"PEPTIDE1{Y.Q.G.Y.F.L.G}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.27814841
"PEPTIDE1{G.Y.G.dP.P.Y.Q}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.93388265
"PEPTIDE1{X2328.P.G.X1811.Aze.(N->O)Tyr.X867}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.67574244
"PEPTIDE1{G.G.X2432.X1707.L.Y.P}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.74683031
